DateTime,OKX Open,OKX High,OKX Low,OKX Close,OKX Volume,OKX Spread,OKX Percentage Change,Binance Open,Binance High,Binance Low,Binance Close,Binance Volume,Binance Close Time,Binance Quote Asset Volume,Binance Number of Trades,Binance Taker buy base asset volume,Binance Taker buy quote asset volume,Binance Spread,Binance Percentage Change,Close Price Difference
1707566100000,118.2,118.2,118.2,118.2,0.45303,0.0,0.03385240352065526,118.23000000,118.28000000,118.20000000,118.25000000,97.79000000,,,,,,0.0799999999999983,0.016916180326478913,-0.04999999999999716
1707566160000,118.27,118.51,118.27,118.51,38.084739,0.2400000000000091,0.26226734348561953,118.28000000,118.54000000,118.28000000,118.54000000,271.47000000,,,,,,0.2600000000000051,0.2452431289640645,-0.030000000000001137
1707566220000,118.48,118.48,118.48,118.48,2.532072,0.0,-0.02531431946671263,118.51000000,118.51000000,118.51000000,118.51000000,17.43000000,,,,,,0.0,-0.02530791294078044,-0.030000000000001137
1707566280000,118.5,118.5,118.4,118.49,40.362234,0.09999999999999432,0.008440243078992998,118.51000000,118.51000000,118.41000000,118.43000000,93.52000000,,,,,,0.10000000000000853,-0.06750485191122968,0.05999999999998806
1707566340000,118.44,118.44,118.44,118.44,0.140408,0.0,-0.04219765381044575,118.43000000,118.46000000,118.42000000,118.46000000,74.31000000,,,,,,0.03999999999999204,0.02533141940385622,-0.01999999999999602
1707566400000,118.46,118.46,118.33,118.33,4.229631,0.12999999999999545,-0.09287402904424133,118.53000000,118.53000000,118.31000000,118.31000000,90.65000000,,,,,,0.21999999999999886,-0.126625021104163,0.01999999999999602
1707566460000,118.23,118.23,118.2,118.2,0.040999,0.030000000000001137,-0.10986224964083112,118.31000000,118.37000000,118.19000000,118.37000000,60.51000000,,,,,,0.18000000000000682,0.05071422534020985,-0.1700000000000017
1707566520000,118.38,118.5,118.38,118.5,4.890534,0.12000000000000455,0.25380710659898237,118.41000000,118.50000000,118.40000000,118.50000000,120.91000000,,,,,,0.09999999999999432,0.10982512460927214,0.0
1707566580000,118.5,118.5,118.5,118.5,0,0.0,0.0,118.53000000,118.61000000,118.53000000,118.60000000,43.67000000,,,,,,0.0799999999999983,0.08438818565400363,-0.09999999999999432
1707566640000,118.56,118.81,118.56,118.81,3.173861,0.25,0.2616033755274281,118.61000000,118.83000000,118.57000000,118.72000000,140.13000000,,,,,,0.2600000000000051,0.10118043844857046,0.09000000000000341
1707566700000,118.67,118.93,118.65,118.93,3.620392,0.28000000000000114,0.10100159919199103,118.70000000,118.96000000,118.62000000,118.94000000,113.86000000,,,,,,0.3399999999999892,0.18530997304582114,-0.009999999999990905
1707566760000,118.85,118.91,118.85,118.91,6.916736,0.060000000000002274,-0.016816614815446256,118.95000000,118.95000000,118.88000000,118.92000000,48.67000000,,,,,,0.07000000000000739,-0.016815200941647908,-0.010000000000005116
1707566820000,118.92,118.92,118.85,118.86,6.671263,0.07000000000000739,-0.04204860819106648,118.91000000,118.95000000,118.81000000,118.89000000,77.52000000,,,,,,0.14000000000000057,-0.025227043390515586,-0.030000000000001137
1707566880000,118.82,118.85,118.69,118.85,22.136324,0.1599999999999966,-0.008413259296655828,118.86000000,118.92000000,118.73000000,118.88000000,198.89000000,,,,,,0.18999999999999773,-0.008411136344524447,-0.030000000000001137
1707566940000,118.85,118.85,118.85,118.85,0,0.0,0.0,118.88000000,118.94000000,118.86000000,118.88000000,26.30000000,,,,,,0.0799999999999983,0.0,-0.030000000000001137
1707567000000,118.85,118.85,118.85,118.85,0,0.0,0.0,118.92000000,119.00000000,118.92000000,119.00000000,39.99000000,,,,,,0.0799999999999983,0.10094212651413574,-0.15000000000000568
