DateTime,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker buy base asset volume,Taker buy quote asset volume
1698801060000,112.70000000,112.70000000,112.43000000,112.51000000,112.40000000,1698801119999,12654.96380000,92,8.26000000,929.96060000
1698801120000,112.50000000,112.65000000,112.41000000,112.46000000,53.24000000,1698801179999,5990.92930000,64,38.04000000,4280.92510000
1698801180000,112.42000000,112.47000000,112.15000000,112.15000000,109.68000000,1698801239999,12317.67370000,104,41.54000000,4666.72120000
1698801240000,112.21000000,112.46000000,112.21000000,112.26000000,69.78000000,1698801299999,7840.33280000,74,35.56000000,3996.81870000
1698801300000,112.26000000,112.60000000,112.05000000,112.07000000,185.89000000,1698801359999,20880.99420000,296,85.27000000,9580.75170000
1698801360000,112.09000000,112.09000000,111.63000000,111.66000000,111.93000000,1698801419999,12522.80810000,163,35.92000000,4017.27640000
1698801420000,111.60000000,111.92000000,111.56000000,111.82000000,178.88000000,1698801479999,19990.84840000,85,134.90000000,15075.35310000
1698801480000,111.79000000,111.91000000,111.72000000,111.91000000,30.27000000,1698801539999,3384.62460000,39,18.40000000,2057.19840000
1698801540000,111.95000000,112.16000000,111.92000000,112.16000000,22.54000000,1698801599999,2524.87230000,31,14.79000000,1656.95380000
1698801600000,112.15000000,112.33000000,112.09000000,112.25000000,40.69000000,1698801659999,4566.93260000,74,28.89000000,3242.66460000
1698801660000,112.25000000,112.44000000,112.12000000,112.43000000,85.82000000,1698801719999,9626.10140000,65,12.62000000,1416.86690000
1698801720000,112.42000000,112.42000000,112.14000000,112.19000000,33.41000000,1698801779999,3749.86070000,37,11.31000000,1269.81530000
1698801780000,112.21000000,112.40000000,112.14000000,112.21000000,27.24000000,1698801839999,3058.95850000,44,13.82000000,1551.90690000
1698801840000,112.21000000,112.25000000,111.81000000,111.81000000,98.51000000,1698801899999,11034.21050000,77,9.04000000,1011.89690000
1698801900000,111.85000000,112.05000000,111.83000000,111.94000000,75.42000000,1698801959999,8443.65610000,88,45.44000000,5088.24900000
1698801960000,111.91000000,111.99000000,111.58000000,111.58000000,122.04000000,1698802019999,13641.20460000,119,18.84000000,2106.06830000
1698802020000,111.62000000,111.81000000,111.50000000,111.72000000,70.45000000,1698802079999,7862.80080000,132,20.21000000,2255.59530000
1698802080000,111.73000000,111.93000000,111.64000000,111.81000000,26.69000000,1698802139999,2984.54780000,34,15.39000000,1721.51680000
1698802140000,111.80000000,111.86000000,111.63000000,111.63000000,76.01000000,1698802199999,8496.52260000,65,35.50000000,3969.57380000
1698802200000,111.70000000,111.71000000,111.50000000,111.50000000,144.43000000,1698802259999,16117.74230000,107,16.89000000,1884.87720000
1698802260000,111.50000000,111.92000000,111.50000000,111.87000000,41.79000000,1698802319999,4667.02170000,84,16.19000000,1808.79310000
1698802320000,111.90000000,112.21000000,111.85000000,111.98000000,57.98000000,1698802379999,6495.16960000,103,16.32000000,1827.93590000
1698802380000,112.11000000,112.22000000,112.00000000,112.00000000,52.78000000,1698802439999,5917.77430000,79,20.40000000,2288.31760000
1698802440000,112.01000000,112.16000000,111.87000000,111.90000000,83.92000000,1698802499999,9400.77540000,99,32.03000000,3588.31360000
1698802500000,111.90000000,111.90000000,111.68000000,111.74000000,63.41000000,1698802559999,7086.36620000,70,7.40000000,826.93770000
1698802560000,111.82000000,111.98000000,111.81000000,111.83000000,19.05000000,1698802619999,2131.82780000,23,11.50000000,1287.35940000
1698802620000,111.84000000,111.98000000,111.72000000,111.88000000,31.34000000,1698802679999,3505.13550000,51,21.24000000,2375.60070000
1698802680000,111.91000000,112.11000000,111.91000000,111.97000000,126.98000000,1698802739999,14228.93370000,61,21.41000000,2398.43380000
1698802740000,111.98000000,112.13000000,111.87000000,111.87000000,51.76000000,1698802799999,5797.41830000,55,23.13000000,2591.64260000
1698802800000,111.88000000,111.89000000,111.23000000,111.30000000,271.91000000,1698802859999,30311.28070000,242,43.24000000,4820.09660000
1698802860000,111.27000000,111.52000000,111.23000000,111.47000000,92.89000000,1698802919999,10342.14180000,89,21.04000000,2342.39260000
1698802920000,111.49000000,111.59000000,111.41000000,111.43000000,29.77000000,1698802979999,3319.34150000,28,18.44000000,2055.78880000
1698802980000,111.54000000,111.65000000,111.48000000,111.61000000,14.22000000,1698803039999,1586.65430000,17,3.55000000,395.99270000
1698803040000,111.66000000,111.70000000,111.37000000,111.67000000,28.31000000,1698803099999,3157.69090000,41,9.11000000,1016.26270000
1698803100000,111.60000000,111.62000000,111.26000000,111.39000000,25.70000000,1698803159999,2865.08840000,30,5.95000000,663.70310000
1698803160000,111.39000000,111.51000000,111.29000000,111.48000000,86.04000000,1698803219999,9583.37840000,47,8.77000000,977.11760000
1698803220000,111.45000000,111.71000000,111.41000000,111.71000000,27.31000000,1698803279999,3047.10400000,31,23.00000000,2566.42840000
